Data,Czas,Data,Produkt,ISIN,Opis,Kurs,Zmiana,,Saldo,,Identyfikator zlecenia
06-04-2021,16:58,06-04-2021,MICROSOFT CORPORATION,US5949181045,DEGIRO Opłata Transakcyjna,,EUR,"-0,50",EUR,"231,24",a7ac0afb-f80f-4e69-ae0e-519e824c170e
06-04-2021,16:58,06-04-2021,MICROSOFT CORPORATION,US5949181045,"Sprzedaż 1 MICROSOFT CORPORATION@248,4 USD (US5949181045)",,USD,"248,40",USD,"248,40",a7ac0afb-f80f-4e69-ae0e-519e824c170e
05-04-2021,15:30,05-04-2021,MICROSOFT CORPORATION,US5949181045,FX Withdrawal,"1,1794",USD,"-242,85",USD,"0,00",f330b4b4-99d8-47eb-8583-71cd7fc60d23
05-04-2021,15:30,05-04-2021,MICROSOFT CORPORATION,US5949181045,FX Credit,,EUR,"205,91",EUR,"231,74",f330b4b4-99d8-47eb-8583-71cd7fc60d23
05-04-2021,15:30,05-04-2021,MICROSOFT CORPORATION,US5949181045,DEGIRO Opłata Transakcyjna,,EUR,"-0,50",EUR,"25,83",f330b4b4-99d8-47eb-8583-71cd7fc60d23
05-04-2021,15:30,05-04-2021,MICROSOFT CORPORATION,US5949181045,"Sprzedaż 1 MICROSOFT CORPORATION@242,85 USD (US5949181045)",,USD,"242,85",USD,"242,85",f330b4b4-99d8-47eb-8583-71cd7fc60d23
30-03-2021,00:00,29-03-2021,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,Zmiana ceny funduszu gotówkowego (EUR),,EUR,"-0,00",EUR,"26,33",
29-03-2021,12:03,26-03-2021,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,"Konwersja funduszu gotówkowego: Zakup 0,3063 przy  0,9795 EUR",,,,EUR,"26,33",
26-03-2021,09:30,25-03-2021,,,FX Withdrawal,,EUR,"0,30",EUR,"26,33",
26-03-2021,09:30,25-03-2021,,,FX Withdrawal,"1,1775",USD,"-0,36",USD,"0,00",
25-03-2021,09:32,24-03-2021,ELECTRONIC ARTS INC. -,US2855121099,Dywidenda,,USD,"0,51",USD,"0,36",
25-03-2021,09:32,24-03-2021,ELECTRONIC ARTS INC. -,US2855121099,Podatek Dywidendowy,,USD,"-0,15",USD,"-0,15",
23-03-2021,00:00,22-03-2021,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,Zmiana ceny funduszu gotówkowego (EUR),,EUR,"-0,00",EUR,"26,03",
17-03-2021,00:00,16-03-2021,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,Zmiana ceny funduszu gotówkowego (EUR),,EUR,"-0,00",EUR,"26,03",
16-03-2021,12:09,15-03-2021,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,"Konwersja funduszu gotówkowego: Zakup 2,3272 przy  0,9797 EUR",,,,EUR,"26,04",
13-03-2021,08:09,12-03-2021,,,FX Withdrawal,,EUR,"2,28",EUR,"26,04",
13-03-2021,08:09,12-03-2021,,,FX Withdrawal,"1,1965",USD,"-2,74",USD,"0,00",
12-03-2021,08:14,11-03-2021,MICROSOFT CORPORATION,US5949181045,Dywidenda,,USD,"3,92",USD,"2,74",
12-03-2021,08:14,11-03-2021,MICROSOFT CORPORATION,US5949181045,Podatek Dywidendowy,,USD,"-1,18",USD,"-1,18",
11-03-2021,00:00,10-03-2021,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,Zmiana ceny funduszu gotówkowego (EUR),,EUR,"-0,00",EUR,"23,76",
10-03-2021,12:04,09-03-2021,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,"Konwersja funduszu gotówkowego: Zakup 23,6444 przy  0,9798 EUR",,,,EUR,"23,76",
09-03-2021,12:47,08-03-2021,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,"Konwersja funduszu gotówkowego: Sprzedaż 31,5644 przy 0,9798 EUR",,,,EUR,"23,76",
09-03-2021,08:54,08-03-2021,,,FX Withdrawal,,EUR,"2,28",EUR,"23,76",
09-03-2021,08:54,08-03-2021,,,FX Withdrawal,"1,1929",USD,"-2,73",USD,"0,00",
09-03-2021,08:54,08-03-2021,,,FX Withdrawal,,EUR,"20,89",EUR,"21,48",
09-03-2021,08:54,08-03-2021,,,FX Withdrawal,"4,5977",PLN,"-96,06",PLN,"0,00",
08-03-2021,16:22,08-03-2021,,,Wypłata,,PLN,"-4400,00",PLN,"96,06",
08-03-2021,16:21,08-03-2021,EUR/PLN,,FX Credit,"4,5975",PLN,"4496,06",PLN,"4496,06",
08-03-2021,16:21,08-03-2021,EUR/PLN,,FX Withdrawal,,EUR,"-978,00",EUR,"0,59",
08-03-2021,16:19,08-03-2021,INOVIO PHARMACEUTICALS,US45773H2013,FX Withdrawal,"1,1896",USD,"-83,88",USD,"2,73",85e78a7e-efc8-456b-a12a-68478185d701
08-03-2021,16:19,08-03-2021,INOVIO PHARMACEUTICALS,US45773H2013,FX Credit,,EUR,"70,51",EUR,"978,59",85e78a7e-efc8-456b-a12a-68478185d701
08-03-2021,16:19,08-03-2021,INOVIO PHARMACEUTICALS,US45773H2013,DEGIRO Opłata Transakcyjna,,EUR,"-0,03",EUR,"908,08",85e78a7e-efc8-456b-a12a-68478185d701
08-03-2021,16:19,08-03-2021,INOVIO PHARMACEUTICALS,US45773H2013,DEGIRO Opłata Transakcyjna,,EUR,"-0,50",EUR,"908,11",85e78a7e-efc8-456b-a12a-68478185d701
08-03-2021,16:19,08-03-2021,INOVIO PHARMACEUTICALS,US45773H2013,"Sprzedaż 9 INOVIO PHARMACEUTICALS@9,32 USD (US45773H2013)",,USD,"83,88",USD,"86,61",85e78a7e-efc8-456b-a12a-68478185d701
08-03-2021,16:18,08-03-2021,APPLE INC. - COMMON ST,US0378331005,FX Withdrawal,"1,1895",USD,"-357,00",USD,"2,73",fa3ebcc5-46a3-47e4-8f10-4dfb99c166be
08-03-2021,16:18,08-03-2021,APPLE INC. - COMMON ST,US0378331005,FX Credit,,EUR,"300,13",EUR,"908,61",fa3ebcc5-46a3-47e4-8f10-4dfb99c166be
08-03-2021,16:18,08-03-2021,APPLE INC. - COMMON ST,US0378331005,DEGIRO Opłata Transakcyjna,,EUR,"-0,01",EUR,"608,48",fa3ebcc5-46a3-47e4-8f10-4dfb99c166be
08-03-2021,16:18,08-03-2021,APPLE INC. - COMMON ST,US0378331005,DEGIRO Opłata Transakcyjna,,EUR,"-0,50",EUR,"608,49",fa3ebcc5-46a3-47e4-8f10-4dfb99c166be
08-03-2021,16:18,08-03-2021,APPLE INC. - COMMON ST,US0378331005,Sprzedaż 3 APPLE INC. - COMMON ST@119 USD (US0378331005),,USD,"357,00",USD,"359,73",fa3ebcc5-46a3-47e4-8f10-4dfb99c166be
08-03-2021,16:17,08-03-2021,ALIBABA GROUP HOLDING,US01609W1027,FX Withdrawal,"1,1896",USD,"-456,34",USD,"2,73",fc67c932-1542-4683-bbfc-43b80cd772f3
08-03-2021,16:17,08-03-2021,ALIBABA GROUP HOLDING,US01609W1027,FX Credit,,EUR,"383,61",EUR,"608,99",fc67c932-1542-4683-bbfc-43b80cd772f3
08-03-2021,16:17,08-03-2021,ALIBABA GROUP HOLDING,US01609W1027,DEGIRO Opłata Transakcyjna,,EUR,"-0,01",EUR,"225,38",fc67c932-1542-4683-bbfc-43b80cd772f3
08-03-2021,16:17,08-03-2021,ALIBABA GROUP HOLDING,US01609W1027,DEGIRO Opłata Transakcyjna,,EUR,"-0,50",EUR,"225,39",fc67c932-1542-4683-bbfc-43b80cd772f3
08-03-2021,16:17,08-03-2021,ALIBABA GROUP HOLDING,US01609W1027,"Sprzedaż 2 ALIBABA GROUP HOLDING@228,17 USD (US01609W1027)",,USD,"456,34",USD,"459,07",fc67c932-1542-4683-bbfc-43b80cd772f3
08-03-2021,16:17,08-03-2021,MICROSOFT CORPORATION,US5949181045,FX Withdrawal,"1,1894",USD,"-231,78",USD,"2,73",804ae072-79a0-4a72-84da-a20e1a6a0104
08-03-2021,16:17,08-03-2021,MICROSOFT CORPORATION,US5949181045,FX Credit,,EUR,"194,87",EUR,"225,89",804ae072-79a0-4a72-84da-a20e1a6a0104
08-03-2021,16:17,08-03-2021,MICROSOFT CORPORATION,US5949181045,DEGIRO Opłata Transakcyjna,,EUR,"-0,50",EUR,"31,02",804ae072-79a0-4a72-84da-a20e1a6a0104
08-03-2021,16:17,08-03-2021,MICROSOFT CORPORATION,US5949181045,"Sprzedaż 1 MICROSOFT CORPORATION@231,78 USD (US5949181045)",,USD,"231,78",USD,"234,51",804ae072-79a0-4a72-84da-a20e1a6a0104
08-03-2021,08:22,05-03-2021,PFIZER INC,US7170811035,Dywidenda,,USD,"3,90",USD,"2,73",
08-03-2021,08:22,05-03-2021,PFIZER INC,US7170811035,Podatek Dywidendowy,,USD,"-1,17",USD,"-1,17",
08-03-2021,00:00,07-03-2021,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,Zmiana ceny funduszu gotówkowego (EUR),,EUR,"-0,00",EUR,"31,52",
04-03-2021,12:46,03-03-2021,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,"Konwersja funduszu gotówkowego: Zakup 0,6122 przy  0,9799 EUR",,,,EUR,"31,52",
03-03-2021,08:39,02-03-2021,,,FX Withdrawal,,EUR,"0,60",EUR,"31,52",
03-03-2021,08:39,02-03-2021,,,FX Withdrawal,"1,2103",USD,"-0,73",USD,"0,00",
02-03-2021,09:03,01-03-2021,INTEL CORPORATION - CO,US4581401001,Dywidenda,,USD,"1,04",USD,"0,73",
02-03-2021,09:03,01-03-2021,INTEL CORPORATION - CO,US4581401001,Podatek Dywidendowy,,USD,"-0,31",USD,"-0,31",
01-03-2021,00:00,28-02-2021,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,Zmiana ceny funduszu gotówkowego (EUR),,EUR,"-0,00",EUR,"30,92",
26-02-2021,14:40,25-02-2021,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,"Konwersja funduszu gotówkowego: Sprzedaż 102,6428 przy 0,98 EUR",,,,EUR,"30,92",
25-02-2021,18:11,25-02-2021,APPLE INC. - COMMON ST,US0378331005,FX Credit,"1,2221",USD,"122,32",USD,"0,00",ee5c5ac1-cc81-4498-84ce-784de20f1b78
25-02-2021,18:11,25-02-2021,APPLE INC. - COMMON ST,US0378331005,FX Withdrawal,,EUR,"-100,09",EUR,"30,92",ee5c5ac1-cc81-4498-84ce-784de20f1b78
25-02-2021,18:11,25-02-2021,APPLE INC. - COMMON ST,US0378331005,DEGIRO Opłata Transakcyjna,,EUR,"-0,50",EUR,"131,01",ee5c5ac1-cc81-4498-84ce-784de20f1b78
25-02-2021,18:11,25-02-2021,APPLE INC. - COMMON ST,US0378331005,"Kupno 1 APPLE INC. - COMMON ST@122,32 USD (US0378331005)",,USD,"-122,32",USD,"-122,32",ee5c5ac1-cc81-4498-84ce-784de20f1b78
25-02-2021,12:04,24-02-2021,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,"Konwersja funduszu gotówkowego: Sprzedaż 0,0207 przy 0,98 EUR",,,,EUR,"131,51",
24-02-2021,12:08,23-02-2021,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,"Konwersja funduszu gotówkowego: Sprzedaż 102,3365 przy 0,98 EUR",,,,EUR,"131,51",
24-02-2021,08:13,23-02-2021,,,FX Withdrawal,,EUR,"-0,01",EUR,"131,51",
24-02-2021,08:13,23-02-2021,,,FX Withdrawal,"1,2139",USD,"0,02",USD,"0,00",
23-02-2021,15:54,23-02-2021,APPLE INC. - COMMON ST,US0378331005,FX Credit,"1,2127",USD,"121,03",USD,"-0,02",9df942ea-3186-4d8b-9f3c-62f0620109a7
23-02-2021,15:54,23-02-2021,APPLE INC. - COMMON ST,US0378331005,FX Withdrawal,,EUR,"-99,80",EUR,"131,52",9df942ea-3186-4d8b-9f3c-62f0620109a7
23-02-2021,15:54,23-02-2021,APPLE INC. - COMMON ST,US0378331005,DEGIRO Opłata Transakcyjna,,EUR,"-0,50",EUR,"231,32",9df942ea-3186-4d8b-9f3c-62f0620109a7
23-02-2021,15:54,23-02-2021,APPLE INC. - COMMON ST,US0378331005,"Kupno 1 APPLE INC. - COMMON ST@121,03 USD (US0378331005)",,USD,"-121,03",USD,"-121,05",9df942ea-3186-4d8b-9f3c-62f0620109a7
23-02-2021,12:03,22-02-2021,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,"Konwersja funduszu gotówkowego: Sprzedaż 398,3875 przy 0,9801 EUR",,EUR,"0,04",EUR,"231,82",
23-02-2021,09:37,22-02-2021,JD.COM INC. - AMERICA,US47215P1066,ADR/GDR Pass-Through Fee,,USD,"-0,02",USD,"-0,02",
23-02-2021,00:00,22-02-2021,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,Zmiana ceny funduszu gotówkowego (EUR),,EUR,"-0,06",EUR,"231,78",
22-02-2021,21:25,22-02-2021,MICROSOFT CORPORATION,US5949181045,FX Credit,"1,2145",USD,"235,24",USD,"0,00",5c53d367-5b2f-4e0b-bcc6-c4c9d6da659e
22-02-2021,21:25,22-02-2021,MICROSOFT CORPORATION,US5949181045,FX Withdrawal,,EUR,"-193,70",EUR,"231,85",5c53d367-5b2f-4e0b-bcc6-c4c9d6da659e
22-02-2021,21:25,22-02-2021,MICROSOFT CORPORATION,US5949181045,DEGIRO Opłata Transakcyjna,,EUR,"-0,50",EUR,"425,55",5c53d367-5b2f-4e0b-bcc6-c4c9d6da659e
22-02-2021,21:25,22-02-2021,MICROSOFT CORPORATION,US5949181045,"Kupno 1 MICROSOFT CORPORATION@235,24 USD (US5949181045)",,USD,"-235,24",USD,"-235,24",5c53d367-5b2f-4e0b-bcc6-c4c9d6da659e
22-02-2021,15:48,22-02-2021,MICROSOFT CORPORATION,US5949181045,FX Credit,"1,2128",USD,"237,41",USD,"0,00",40851573-f650-4e2a-86e5-eef1a3e7c86b
22-02-2021,15:48,22-02-2021,MICROSOFT CORPORATION,US5949181045,FX Withdrawal,,EUR,"-195,76",EUR,"426,05",40851573-f650-4e2a-86e5-eef1a3e7c86b
22-02-2021,15:48,22-02-2021,MICROSOFT CORPORATION,US5949181045,DEGIRO Opłata Transakcyjna,,EUR,"-0,50",EUR,"621,81",40851573-f650-4e2a-86e5-eef1a3e7c86b
22-02-2021,15:48,22-02-2021,MICROSOFT CORPORATION,US5949181045,"Kupno 1 MICROSOFT CORPORATION@237,41 USD (US5949181045)",,USD,"-237,41",USD,"-237,41",40851573-f650-4e2a-86e5-eef1a3e7c86b
19-02-2021,12:04,18-02-2021,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,"Konwersja funduszu gotówkowego: Zakup 2,8055 przy  0,9801 EUR",,,,EUR,"622,31",
18-02-2021,08:51,17-02-2021,,,FX Withdrawal,,EUR,"2,75",EUR,"622,31",
18-02-2021,08:51,17-02-2021,,,FX Withdrawal,"1,2052",USD,"-3,32",USD,"0,00",
18-02-2021,00:00,17-02-2021,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,Zmiana ceny funduszu gotówkowego (EUR),,EUR,"-0,06",EUR,"619,56",
17-02-2021,07:46,16-02-2021,PROCTER & GAMBLE COMPA,US7427181091,Dywidenda,,USD,"4,74",USD,"3,32",
17-02-2021,07:46,16-02-2021,PROCTER & GAMBLE COMPA,US7427181091,Podatek Dywidendowy,,USD,"-1,42",USD,"-1,42",
16-02-2021,12:04,15-02-2021,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,"Konwersja funduszu gotówkowego: Zakup 1,1937 przy  0,9802 EUR",,,,EUR,"619,62",
13-02-2021,08:23,12-02-2021,,,FX Withdrawal,,EUR,"1,17",EUR,"619,62",
13-02-2021,08:23,12-02-2021,,,FX Withdrawal,"1,2132",USD,"-1,43",USD,"0,00",
12-02-2021,07:41,11-02-2021,APPLE INC. - COMMON ST,US0378331005,Dywidenda,,USD,"2,05",USD,"1,43",
12-02-2021,07:41,11-02-2021,APPLE INC. - COMMON ST,US0378331005,Podatek Dywidendowy,,USD,"-0,62",USD,"-0,62",
12-02-2021,00:00,11-02-2021,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,Zmiana ceny funduszu gotówkowego (EUR),,EUR,"-0,06",EUR,"618,45",
09-02-2021,00:00,08-02-2021,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,Zmiana ceny funduszu gotówkowego (EUR),,EUR,"-0,06",EUR,"618,51",
08-02-2021,15:03,05-02-2021,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,"Konwersja funduszu gotówkowego: Zakup 400,2957 przy  0,9804 EUR",,,,EUR,"618,58",
05-02-2021,19:07,05-02-2021,ALIBABA GROUP HOLDING,US01609W1027,FX Withdrawal,"1,2051",USD,"-532,40",USD,"0,00",1f1e842d-c42a-4c8f-a082-ef469fa7a57d
05-02-2021,19:07,05-02-2021,ALIBABA GROUP HOLDING,US01609W1027,FX Credit,,EUR,"441,79",EUR,"618,58",1f1e842d-c42a-4c8f-a082-ef469fa7a57d
05-02-2021,19:07,05-02-2021,ALIBABA GROUP HOLDING,US01609W1027,DEGIRO Opłata Transakcyjna,,EUR,"-0,01",EUR,"176,79",1f1e842d-c42a-4c8f-a082-ef469fa7a57d
05-02-2021,19:07,05-02-2021,ALIBABA GROUP HOLDING,US01609W1027,DEGIRO Opłata Transakcyjna,,EUR,"-0,50",EUR,"176,80",1f1e842d-c42a-4c8f-a082-ef469fa7a57d
05-02-2021,19:07,05-02-2021,ALIBABA GROUP HOLDING,US01609W1027,"Sprzedaż 2 ALIBABA GROUP HOLDING@266,2 USD (US01609W1027)",,USD,"532,40",USD,"532,40",1f1e842d-c42a-4c8f-a082-ef469fa7a57d
05-02-2021,16:29,05-02-2021,JANONE INC,US47089W1045,FX Credit,"1,2008",USD,"9,18",USD,"0,00",aec1551b-2f7c-4654-a683-de412d4139c5
05-02-2021,16:29,05-02-2021,JANONE INC,US47089W1045,FX Withdrawal,,EUR,"-7,64",EUR,"177,30",aec1551b-2f7c-4654-a683-de412d4139c5
05-02-2021,16:29,05-02-2021,JANONE INC,US47089W1045,DEGIRO Opłata Transakcyjna,,EUR,"-0,50",EUR,"184,94",aec1551b-2f7c-4654-a683-de412d4139c5
05-02-2021,16:29,05-02-2021,JANONE INC,US47089W1045,"Kupno 1 JANONE INC@9,18 USD (US47089W1045)",,USD,"-9,18",USD,"-9,18",aec1551b-2f7c-4654-a683-de412d4139c5
05-02-2021,15:31,05-02-2021,VIRGIN GALACTIC HOLDINGS INC. COMMON ...,US92766K1060,FX Credit,"1,2005",USD,"55,00",USD,"0,00",8aa6c76d-9499-40ab-92b0-bb056e644037
05-02-2021,15:31,05-02-2021,VIRGIN GALACTIC HOLDINGS INC. COMMON ...,US92766K1060,FX Withdrawal,,EUR,"-45,81",EUR,"185,44",8aa6c76d-9499-40ab-92b0-bb056e644037
05-02-2021,15:31,05-02-2021,VIRGIN GALACTIC HOLDINGS INC. COMMON ...,US92766K1060,DEGIRO Opłata Transakcyjna,,EUR,"-0,50",EUR,"231,25",8aa6c76d-9499-40ab-92b0-bb056e644037
05-02-2021,15:31,05-02-2021,VIRGIN GALACTIC HOLDINGS INC. COMMON ...,US92766K1060,Kupno 1 VIRGIN GALACTIC HOLDINGS INC. COMMON STOCK@55 USD (US92766K1060),,USD,"-55,00",USD,"-55,00",8aa6c76d-9499-40ab-92b0-bb056e644037
04-02-2021,16:09,04-02-2021,PROCTER & GAMBLE COMPA,US7427181091,FX Credit,"1,1968",USD,"258,54",USD,"0,00",5d3dd428-08fe-442d-9d1e-c38400ab97d5
04-02-2021,16:09,04-02-2021,PROCTER & GAMBLE COMPA,US7427181091,FX Withdrawal,,EUR,"-216,03",EUR,"231,75",5d3dd428-08fe-442d-9d1e-c38400ab97d5
04-02-2021,16:09,04-02-2021,PROCTER & GAMBLE COMPA,US7427181091,DEGIRO Opłata Transakcyjna,,EUR,"-0,01",EUR,"447,78",5d3dd428-08fe-442d-9d1e-c38400ab97d5
04-02-2021,16:09,04-02-2021,PROCTER & GAMBLE COMPA,US7427181091,DEGIRO Opłata Transakcyjna,,EUR,"-0,50",EUR,"447,79",5d3dd428-08fe-442d-9d1e-c38400ab97d5
04-02-2021,16:09,04-02-2021,PROCTER & GAMBLE COMPA,US7427181091,"Kupno 2 PROCTER & GAMBLE COMPA@129,27 USD (US7427181091)",,USD,"-258,54",USD,"-258,54",5d3dd428-08fe-442d-9d1e-c38400ab97d5
04-02-2021,16:07,04-02-2021,ALIBABA GROUP HOLDING,US01609W1027,FX Withdrawal,"1,1994",USD,"-267,06",USD,"0,00",4bd7d171-81ad-4930-acdc-a02a2662a7fd
04-02-2021,16:07,04-02-2021,ALIBABA GROUP HOLDING,US01609W1027,FX Credit,,EUR,"222,66",EUR,"448,29",4bd7d171-81ad-4930-acdc-a02a2662a7fd
04-02-2021,16:07,04-02-2021,ALIBABA GROUP HOLDING,US01609W1027,DEGIRO Opłata Transakcyjna,,EUR,"-0,50",EUR,"225,63",4bd7d171-81ad-4930-acdc-a02a2662a7fd
04-02-2021,16:07,04-02-2021,ALIBABA GROUP HOLDING,US01609W1027,"Sprzedaż 1 ALIBABA GROUP HOLDING@267,06 USD (US01609W1027)",,USD,"267,06",USD,"267,06",4bd7d171-81ad-4930-acdc-a02a2662a7fd
04-02-2021,00:00,03-02-2021,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,Zmiana ceny funduszu gotówkowego (EUR),,EUR,"-0,02",EUR,"226,13",
02-02-2021,12:04,01-02-2021,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,"Konwersja funduszu gotówkowego: Sprzedaż 10,2335 przy 0,9805 EUR",,,,EUR,"226,15",
01-02-2021,12:41,29-01-2021,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,"Konwersja funduszu gotówkowego: Sprzedaż 338,9556 przy 0,9805 EUR",,,,EUR,"226,15",
31-01-2021,13:19,31-12-2020,,,DEGIRO Exchange Connection Fee 2021 (New York Stock Exchange - NSY),,EUR,"-2,50",EUR,"226,15",
31-01-2021,13:19,31-12-2020,,,DEGIRO Exchange Connection Fee 2021 (NASDAQ - NDQ),,EUR,"-2,50",EUR,"228,65",
31-01-2021,13:19,31-12-2020,,,DEGIRO Exchange Connection Fee 2021 (Borse Frankfurt - FRA),,EUR,"-2,50",EUR,"231,15",
31-01-2021,13:19,31-12-2020,,,DEGIRO Exchange Connection Fee 2021 (Xetra - XET),,EUR,"-2,50",EUR,"233,65",
29-01-2021,18:29,29-01-2021,APPLE INC. - COMMON ST,US0378331005,FX Credit,"1,2124",USD,"132,06",USD,"0,00",fb2e8dd2-ca65-477b-a205-b08f1fc6fac6
29-01-2021,18:29,29-01-2021,APPLE INC. - COMMON ST,US0378331005,FX Withdrawal,,EUR,"-108,93",EUR,"236,15",fb2e8dd2-ca65-477b-a205-b08f1fc6fac6
29-01-2021,18:29,29-01-2021,APPLE INC. - COMMON ST,US0378331005,DEGIRO Opłata Transakcyjna,,EUR,"-0,50",EUR,"345,08",fb2e8dd2-ca65-477b-a205-b08f1fc6fac6
29-01-2021,18:29,29-01-2021,APPLE INC. - COMMON ST,US0378331005,"Kupno 1 APPLE INC. - COMMON ST@132,06 USD (US0378331005)",,USD,"-132,06",USD,"-132,06",fb2e8dd2-ca65-477b-a205-b08f1fc6fac6
29-01-2021,15:41,29-01-2021,APPLE INC. - COMMON ST,US0378331005,FX Credit,"1,2138",USD,"270,00",USD,"0,00",7791ee99-2fca-4b78-bf61-745e80335a37
29-01-2021,15:41,29-01-2021,APPLE INC. - COMMON ST,US0378331005,FX Withdrawal,,EUR,"-222,44",EUR,"345,58",7791ee99-2fca-4b78-bf61-745e80335a37
29-01-2021,15:41,29-01-2021,APPLE INC. - COMMON ST,US0378331005,DEGIRO Opłata Transakcyjna,,EUR,"-0,01",EUR,"568,02",7791ee99-2fca-4b78-bf61-745e80335a37
29-01-2021,15:41,29-01-2021,APPLE INC. - COMMON ST,US0378331005,DEGIRO Opłata Transakcyjna,,EUR,"-0,50",EUR,"568,03",7791ee99-2fca-4b78-bf61-745e80335a37
29-01-2021,15:41,29-01-2021,APPLE INC. - COMMON ST,US0378331005,Kupno 2 APPLE INC. - COMMON ST@135 USD (US0378331005),,USD,"-270,00",USD,"-270,00",7791ee99-2fca-4b78-bf61-745e80335a37
29-01-2021,00:00,28-01-2021,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,Zmiana ceny funduszu gotówkowego (EUR),,EUR,"-0,06",EUR,"568,53",
27-01-2021,12:04,26-01-2021,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,"Konwersja funduszu gotówkowego: Zakup 132,8574 przy  0,9806 EUR",,,,EUR,"568,59",
26-01-2021,16:33,26-01-2021,CD PROJEKT RED SA,PLOPTTC00011,FX Withdrawal,"4,5475",PLN,"-594,00",PLN,"0,00",264ecefd-d694-459a-b894-626b3595a5cd
26-01-2021,16:33,26-01-2021,CD PROJEKT RED SA,PLOPTTC00011,FX Credit,,EUR,"130,62",EUR,"568,59",264ecefd-d694-459a-b894-626b3595a5cd
